type,name,label::English,hint::English,required,read_only,relevant,appearance,constraint,constraint_message,choice_filter,default,calculation,repeat_count
select_multiple i2_list,I2_Protection,"I.2: If yes, what type of abuse? ",(select all applicable),yes,,"selected(${I1_Protection}, 'i1_1')",minimal,"not((selected(., 'i2_4') and count-selected(.) >=2)) and not((selected(., 'i2_4') and count-selected(.) >=2)) and count-selected(.) <= 3",Dont Know or don?t want to answer can not be selected with other options,,,,
select_multiple i3_list,I3_Protection,I.3: Who and/or where did members of your household go to for support? ,(select all applicable),yes,,"selected(${I1_Protection}, 'i1_1')",minimal,"not((selected(., 'i3_9') and count-selected(.) >=2)) and not((selected(., 'i3_10') and count-selected(.) >=2)) and count-selected(.) <= 3",Dont Know or don?t want to answer can not be selected with other options,,,,
select_multiple i4_list,I4_Protection,I.4: What services were available in the community? ,(select all applicable),yes,,"selected(${I1_Protection}, 'i1_1')",minimal,"not((selected(., 'i4_6') and count-selected(.) >=2)) and not((selected(., 'i4_7') and count-selected(.) >=2)) and not((selected(., 'i4_8') and count-selected(.) >=2)) and count-selected(.) <= 3",Dont Know or don?t want to answer can not be selected with other options,,,,
select_multiple i5_list,I5_Protection,I.5: What services were safely accessible in the community? ,(select all applicable),yes,,"selected(${I1_Protection}, 'i1_1')",minimal,"not((selected(., 'i5_6') and count-selected(.) >=2)) and not((selected(., 'i5_7') and count-selected(.) >=2)) and not((selected(., 'i5_8') and count-selected(.) >=2)) and count-selected(.) <= 3",Dont Know or don?t want to answer can not be selected with other options,,,,
select_multiple i6_list,I6_Protection,"I.6: Only for IDP, migrant and refugee households with separated children: What services to support the separated children in your household were available and safely accessible in the community? ",(select all applicable),yes,,"selected(${I1_Protection}, 'i1_1') and selected(${A1_Metadata}, 'a1_3') or selected(${A1_Metadata}, 'a1_2') or selected(${A1_Metadata}, 'a1_4')",minimal,"not((selected(., 'i6_5') and count-selected(.) >=2)) and not((selected(., 'i6_6') and count-selected(.) >=2)) and not((selected(., 'i6_7') and count-selected(.) >=2)) and count-selected(.) <= 3",Dont Know or don?t want to answer can not be selected with other options,,,,
select_multiple i7_list,I7_Protection,"I.7: Only for IDP, migrant and refugee households with single mothers, single/separated women, widows, and elderly women: What services, specifically for women, were available and safely accessible in the community? ",(select all applicable),yes,,"selected(${I1_Protection}, 'i1_1') and selected(${A1_Metadata}, 'a1_3') or selected(${A1_Metadata}, 'a1_2') or selected(${A1_Metadata}, 'a1_4')",minimal,"not((selected(., 'i7_2') and count-selected(.) >=2)) and not((selected(., 'i7_3') and count-selected(.) >=2)) and not((selected(., 'i7_4') and count-selected(.) >=2)) and count-selected(.) <= 3",Dont Know or don?t want to answer can not be selected with other options,,,,
end group,,,,,,,,,,,,,
begin group,SecJLivelihood,J. Livelihood,,yes,,,,,,,,,
select_multiple j1_list,J1_Livelihood,"J.1: In the past 30 days, what were the main sources of income of your household?",(select maximum three),yes,,,minimal,"not((selected(., 'j1_13') and count-selected(.) >=2)) and not((selected(., 'j1_14') and count-selected(.) >=2)) and not((selected(., 'j1_15') and count-selected(.) >=2)) and count-selected(.) <= 3",Dont Know or don?t want to answer can not be selected with other options,,,,
select_one j2_list,J2_Livelihood,"J.2: If selected ?Employment? Have you or anyone else in your household faced difficulties in finding employment in the past 90 days  (if no, I don?t know, or I don?t want to answer, skip to J.5)",(select one),yes,,,minimal,,,,,,
select_one j3_list,J3_Livelihood,"J.3: If yes, what was the main problem faced? ",(select one),yes,,"selected(${J2_Livelihood}, 'j2_1')",minimal,,,,,,
select_one j4_list,J4_Livelihood,"J.4: Does your household face problems accessing local markets?  (if no, I don?t know, or I don?t want to answer, skip to J.7)",(select one),yes,,"selected(${J2_Livelihood}, 'j2_1')",minimal,,,,,,
select_multiple j5_list,J5_Livelihood,"J.5: If yes, what problems?",(select top three),yes,,"selected(${J4_Livelihood}, 'j4_1')",minimal,count-selected(.) <= 3,,,,,
select_one j6_list,J6_Livelihood,"J.6: In the past 30 days, did anyone in your household have to engage in any coping strategies* in order to meet the needs of the household?  (if no, I don?t know, or I don?t want to answer, skip to J.9)",(select one),yes,,"selected(${J4_Livelihood}, 'j4_1')",minimal,,,,,,
select_multiple j7_list,J7_Livelihood,"J.7: If yes, which coping strategies did your household have to engage in? ",(select all applicable),yes,,"selected(${J6_Livelihood}, 'j6_1')",minimal,,,,,,
select_one j8_list,J8_Livelihood,"J.8: Does the household currently owe debt to any creditors?  (if no, I don?t know, or I don?t want to answer, skip to J.12)",(select one),yes,,,minimal,,,,,,
note,J9_Livelihood,"J.9: If yes, what type of debt does the household owes? ",(rank the top three),,,"selected(${J8_Livelihood}, 'j8_1')",minimal,,,,,,
select_one j9_list,J9a_Livelihood,J.9a: First top debt does the household owes?,(select one),yes,,"selected(${J8_Livelihood}, 'j8_1')",minimal,,,,,,
select_one j9_list,J9b_Livelihood,J.9a: Second top debt does the household owes?,(select one),,,"selected(${J8_Livelihood}, 'j8_1')",minimal,(${J9a_Livelihood} != ${J9b_Livelihood}),Second need must be different than the first one,,,,
select_one j9_list,J9c_Livelihood,J.9a: Third top debt does the household owes?,(select one),,,"selected(${J8_Livelihood}, 'j8_1')",minimal,(${J9a_Livelihood} != ${J9c_Livelihood}) and (${J9b_Livelihood} != ${J9c_Livelihood}),Third need must be different than the first and second,,,,
select_one j10_list,J10_Livelihood,J.10: What is the most important need for the improvement of the livelihoods of your household? ,(select one),yes,,,minimal,,,,,,
end group,,,,,,,,,,,,,
begin group,SecKCash,K. Cash,,yes,,,,,,,,,
select_one k1_list,K1_Cash,"K.1: In the past 30 days, has your household received humanitarian assistance in the form of cash?  (if no, I don?t know, or I don?t want to answer, skip to section L)",(select one),yes,,,minimal,,,,,,
select_multiple k2_list,K2_Cash,"K.2: If yes, which organisation(s) has your household received cash assistance from? ",(select all applicable),yes,,"selected(${K1_Cash}, 'k1_1')",minimal,"not((selected(., 'k2_4') and count-selected(.) >=2)) and not((selected(., 'k2_5') and count-selected(.) >=2)) and count-selected(.) >= 1",Dont Know or don?t want to answer can not be selected with other options,,,,
select_one k3_list,K3_Cash,K.3: How many times has your household received cash assistance in the past 30 days? ,(select one),yes,,"selected(${K1_Cash}, 'k1_1')",minimal,,,,,,
select_multiple k4_list,K4_Cash,K.4: In what form was the cash assistance delivered to your household? ,(select all applicable),yes,,"selected(${K1_Cash}, 'k1_1')",minimal,"not((selected(., 'k4_4') and count-selected(.) >=2)) and not((selected(., 'k4_5') and count-selected(.) >=2)) and count-selected(.) >= 1",Dont Know or don?t want to answer can not be selected with other options,,,,
end group,,,,,,,,,,,,,
begin group,SecLHummAssist,L. Humanitarian Assistance,,yes,,,,,,,,,
select_one l1_list,L1_HummAssist,"L.1: Has your household received any type of humanitarian assistance in the last 30 days? (if no, I don?t know, or I don?t want to answer, move to L.8)",(select one),yes,,,minimal,,,,,,
select_multiple l2_list,L2_HummAssist,"L.2: If yes, what type of humanitarian assistance has been received to your household in the last 30 days? For each option, please consider both in-kind and cash assistance such as money or vouchers  ",(select all applicable),yes,,"selected(${L1_HummAssist}, 'l1_1')",minimal,"not((selected(., 'l2_18') and count-selected(.) >=2)) and not((selected(., 'l2_19') and count-selected(.) >=2)) and count-selected(.) > 1",Dont Know or don?t want to answer can not be selected with other options,,,,
select_multiple l3_list,L3_HummAssist,"L.3: If yes, who provided the assistance delivered in the past 30 days? ",(select all applicable),yes,,"selected(${L1_HummAssist}, 'l1_1')",minimal,"not((selected(., 'l3_9') and count-selected(.) >=2)) and not((selected(., 'l3_10') and count-selected(.) >=2)) and count-selected(.) > 1",Dont Know or don?t want to answer can not be selected with other options,,,,
select_one l4_list,L4_HummAssist,"L.4: How satisfied was your household with the assistance received? (if yes, fully, skip to L.6)",(select one),yes,,"selected(${L1_HummAssist}, 'l1_1')",minimal,,,,,,
select_multiple l5_list,L5_HummAssist,"L.5: If partially or not satisfied, what were the reasons? ",(select up to three),yes,,"selected(${L1_HummAssist}, 'l1_1') and not(selected(${L4_HummAssist}, 'l4_1'))",minimal,"not((selected(., 'l5_12') and count-selected(.) >=2)) and not((selected(., 'l5_12') and count-selected(.) >=2)) and count-selected(.) <= 3",Dont Know or don?t want to answer can not be selected with other options,,,,
select_one l6_list,L6_HummAssist,L.6: How satisfied was your household with the way humanitarian actors behaved while providing assistance? ,(select one),yes,,"selected(${L1_HummAssist}, 'l1_1')",minimal,,,,,,
select_one yesno,L7_HummAssist,L.7: Has any member of your household been asked to pay or give something in exchange for humanitarian assistance? ,(select one),yes,,"selected(${L1_HummAssist}, 'l1_1')",minimal,,,,,,
select_one l8_list,L8_HummAssist,"L.8: In the case that your household did not receive any assistance, please specify the reasons?  ",(select one),yes,,"selected(${L1_HummAssist}, 'l1_2')",minimal,,,,,,
select_one yesno,L9_HummAssist,L.9: Would your household prefer to have more information from humanitarian agencies about humanitarian assistance? ,(select one),yes,,,minimal,,,,,,
select_multiple l10_list,L10_HummAssist,L.10: What type of information would your household like to receive from humanitarian agencies? ,(select up to five),yes,,,minimal,count-selected(.) <= 5,Dont Know or don?t want to answer can not be selected with other options,,,,
select_multiple l11_list,L11_HummAssist,L.11: How would your household prefer to receive this information? ,(select up to three),yes,,,minimal,count-selected(.) <= 3,Dont Know or don?t want to answer can not be selected with other options,,,,
select_one l12_list,L12_HummAssist,L.12: What is your household preferred means of receiving the information about humanitarian assistance? ,(select one),yes,,,minimal,,,,,,
select_one l13_list,L13_HummAssist,"L.13: In the last 30 days, has your household been asked about what type of humanitarian assistance they would like to receive? (if no, skip to L.16)",(select one),yes,,,minimal,,,,,,
select_one yesno,L14_HummAssist,"L.14: If yes, did your household receive what they asked for? ",(select one),yes,,"not(selected(${L13_HummAssist}, 'l13_2'))",minimal,,,,,,
select_one yesno,L15_HummAssist,L.15: Does your household know how to present feedback or complaints to the humanitarian actors that delivered assistance? ,(select one),yes,,"not(selected(${L13_HummAssist}, 'l13_2'))",minimal,,,,,,
select_multiple l16_list,L16_HummAssist,"L.16: How would your household prefer to provide feedback to humanitarian actors about the quality, quantity, and appropriateness of assistance? ",(select top three),yes,,,minimal,"not((selected(., 'l16_14') and count-selected(.) >=2)) and not((selected(., 'l16_15') and count-selected(.) >=2)) and count-selected(.) <= 3",Dont Know or don?t want to answer can not be selected with other options,,,,
end group,,,,,,,,,,,,,
,,,,,,,,,,,,,
text,FormName,Name this form,,,,,,,,,,"concat('Yemen MCLA 2019 DRAFT v1- ',${today})",
