"index","value","variable","has_issue","issue_type"
NA,"AZGRPHvIybsu /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"bcEdVdbcPcJwswxPKXxlcRoGFAoBdLJZJVRmJxjPfVZuGFqVrDf gQtyUqyfCSx /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"bcZPeKRvIaEOgGknBKjqVlpXhxbXoM /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BDaqgBDRKqz xkr lUlDhmLtijdUcDKicScsv /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BdiIuXOfUUVFcqnNSyvbDETAdPwjk /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"bEPPsYDCIKnQQeVgDTzSpWqMxYidGRRttbRiVfxFHEcoV YPhRCmhTOYYYeiRIsYxHvzqSsrwgMdGaEpa HxrTXgqjnjgOw /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"bHFC /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BkJszGCRzeBkxptQTRymryAANxskmHbSLfYrcVSniOoWqQBtOQyTIQqpShpKZEgKrZnYSzDpVqqU qwxKcg /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BlueIZVJtqvrclnslnZEavPRultbXslkPdJIgLQlkFfSgXYKuiAwBe /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BlYFiwBFYzocIyfvjpGpkONitE tUzQoYnDVZcYqHZfuIPEKqNkRuSFbIrqFyJeAtsKEXm /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"bNQQTdRlIIGbkxmitHzfgWBDcUd /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BnTbeIZrYYcpoAuYrihQdp eAJlrByCEDUHjQvMPRNPuQXiPZfuLnKgGYqToVg /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BSMTCMBwUalF UtWArrotOIZkMerdjPuNFuscUzo /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BSZuvwhLQKuIxzUQfziRwxuULe /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BTBexNGGmnqpKPfewGBUouObAXcShH  sYVEGpgpPxdC /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"BtqliBhuGtNSoUUMbUtmAWEbMVqqqYoiGJqKRcUaE /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"bWAIOyYDwLLlIjdjpEPKnFzSQmhFlLQuODVKtkOYeoSCOEwWRLZuvsxtABBIBJMtYiBIFPuYzd /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"C TapDlOjCvaaErpUAAKvrGh /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"caiJwEnA JwXyzuadFiIjDCNIDjRdx /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"CcDSqesMFYqCeHjyDNKptQepCVPbCfaVegjqM /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"cfeCqSfinWBAyWBZlzyjeknNGxmWpCudSqWjBsldROM /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"cgKoiUECRt /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"cJBpsOqKADjMHMtB  sIgaOZYvvsgkDyLCCKemwVlz Ka VF svxkLrvIFnDoIbpjwiyndmVHilXiz /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"CkjfBPQZIPSicPCACLTwZhXPOYOIIEKLyVReCSrpaowdBHQVnZYFTbtQIbHrKIHAAicq /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"cmVdITeHGaVmNpSFO /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"COBGKbmWNnbgEJHynxDVwjSciIofgE tHLzdHrdU /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"cpTUpmJGdztR QUoTNplijGsncShZXQBgNStDKpTEitvJpKXjpypidW owP /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"CqdS /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"CrdCLfmeqVKeaUkzqrcdNspJuKqAyNyJmo tvTTqaLshblSfnTUjdnBglEEmtpTZvrEYrphmVSZaXukMYNEtgCeweZGjSttuhe /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"CVjvWVoMHfTeIkuBmTLjbUoVKWpHHh NxyYedjkoaxIfLfju vNEXyQJSpPUctvxY /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"CZcjhVcaghHEFUnmirBbgE UAuhZ /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"czY G /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"dBNtdtQVPhlqHzunJuitwIAzmqvtYJnHlVfhQeNExRTtUAoHYOoaMWURlJtDJzsWEdv CtsmDkaKS /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DCGGtQYbbAOViFHlhuHFHgG HpCdEH PMnxW xgpVsaSguwGpCnGGkXwbGyLqan /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DcTdScDnFfRGoamUitDnYjUeWdkrMzuetWHvBdUIdLOMkGXzCPFngFuGXRvlOw /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"devYAGWIwNIMNZjrtGTUa /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"deYrSvASeoqnGbEOvAxAsCtNoaUgwUlsAJLDJXKExjJzxcmozeTyobbYyxUELAuGTZtvJsBanHqEsJMb /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DfgejdTlckGOtDJceNKT /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DGDULvySCmOlCQXUpBopLGjymGVOlGENcH /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"dIcDSrQjDVamiZclifRBjL /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DiJrfNEfgxaHjZBPsecUOolFnzy /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DIsMndHBwPHrQjQMBlRlQChEMGYewQMtrdFTyQhMq SEHvqxqtZMCfLDl xRJdbOwmTpEXCMrea kJLItScPqeA /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"dkC /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DkEFUCdxuRBdIbksgpSplf /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"dkgFThrsHjWkDzUqeOYfEzeXMtOqKxlxT /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DKVegylOQnHvpDTrnfsoKKsACS AqXsvRdeuuCTpRAmRIG /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DLIBbbJawhamjizhr /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"dnxdHJknGkHYDPThTLNKEBdSLBMKmrWiSgO /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"dspgNxcN iHrVOHtgegsrNZdjZyYJWRoURbAcFiZsCKc /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DtqwuVhxZeRFdLGZKKmTDLeOIdskXKAXguqWvjsZciXONHTPpnunWwiZqxSfnvjilvXutdptMuJoanhNkngTiWRldLnWp /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"dWvPpQSgKkvOAJzLzrqKopxJaRUumeGZExogGsIOhiILcJqIlWPlxDhZgOKClxQsXq /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"DyVn eaGDbHtTOoHtBoCuOpXspgcUbHTJikgRALFLJkgCrJlbvodQNolywkAcVBLsGsCgOMxDMrSwvcUCCVbTFwHI /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"ecnH /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"edFqWV /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eEtZYepWlWVVEgaMIYjkkEWFxfIbfqRXFdvczGVe HnbqIoIYQbvgRE /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EgKrmKbHYvFsRdhmOARLoTuIPXSCRKfoSIOaQHNUVfgqOAHDMxftOnRWEmzD RfdklPezAynHduRBdCbGjYi /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EGOTSfFETvDCLYTCLhySeGRIsjHjxTYyvLb rRjaRxLyIryVuHGtX /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eHMqhMOrWhWbThMEQTNVSdavydGglVVuVOinOgyCNi /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EiLGuRRMwawfXsdjgyQZYJmEScUdcMedORtcilXiLEhYDO /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eiohONQUfqyIrpRXKyVOLYtwZqYRmfSvMNeoH  UnP gJzjfzkLCaAotpapzVHRreguqsLPctGtpLGybLZG /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eKMrRgqffKSjPgkrJkgyuDRDgqLfTQWKWyxPQG /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eldaBkzIIaprbvSdaqaB /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EM jsO /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EnlAAATtfh fEddUCPHLiIatmhdbLBpPCLRKxESyjjwXJsXDtGwoxXgMcMnSJMqNXzaLOJckcwttQNqL /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"ENpUbTgNWDrNCAdcObushxpbKKqsJDI AKoHgWFSLprff /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EOqzatFnbgljKdHydSwAdXcmSZSbGsOFImfCizeZdaZ /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eosTcqUDcsASEc maTJaCqzLsefFihzkTfeUJSzDMUQofjIxNYvZKLgbfSgvfAVA /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EpQGruAdaHHHN KXiFALWldsHVxxdIGrWATPRVpSyYQquhIYJgdDY /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eRXRsLSJIUtNCVopAYFzzmJtsuszieyBUKBaREqhUNNmLNAomqdiQC /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EtYxvVxeOBNhJQ XMIYTZeYsDFtmLvdbmrcoySIuuXocHZg MLjBTvRRzdERjgiPLPQaRNddhiPvuQALTpeuxqME /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eUFBLkBXpe SemmsfqGmnJVdIoKxaoIJWiFyokXdy /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eVaDKIEwAFFJMaccRwNxDzmDehTIRqFIncEsWsNUEVGBJOrfaZstZWRRPufgVuqLOMSagyILQWMRpQiNPFcO /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eVGdhekDRzJjaLo /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EvnemnZTQIwRlQdP /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eYIDdHtzWdFNFZvp AISysjgvtxZraXXGkELqAJrDrFQmOGSacGUifLXDdIWQ XKqCxDJBcykfmTQv zJtiGfvmHbiFfBGsEx /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"eYyHaSCGslMRXtHuGLgjXBt /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"EzyrnEuECtUduBTczvicb BczBFAPWdqKBzax KGnFamhcceorFpwuF /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"fAPz QJzhEylcqyKIZUjpksNnqrtBABoSofrP FsJaymVYcPdvWUNbPQc /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"fcQFSMOxyeUDslGOEDLRSjMxAhNgIStNLOuxFqPp SLzoiUePBxerbrSqIaQuu /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"FdhwdLQFajxapiuqlOaZpQMCNPxmFUTxpUFyZfxLydfchyYHdYDxyvfyddpqh /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"FFmnzUbyINyRXBGHJTveCcQgcbmFKRBJUhBk QBTfwZvatBJZVffvOzYGDuznFnhNrfJbJSpDQ /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"fKIBxrqbidJcvmRQqHxtvFCiiByarAHjKkxjWWFlWcqzcZzHwqnJhnSmvRdKUwQrlUYazDOMCmvHadAksl /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"fLIERYrrbXCpxpxADBxmtYeEVlWsUERETizjKiwdNDsJfKoYgZZuuxuHLgzygscBwQqpCBDb LnnIMrLfnGknpaSP /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"flxqRPXOskUPuweqLGAguhenltoh  PNBqTsBqKEmjlnRChibBhLdMIVsHamiwxyAWBzYTwbZLEbgQXBUFCwzVoVT /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"fMJLtlZEbhihiPcsBctbzvqpSVMmUXPhzrUj /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"FMVkaiPRxZwtqaOFRuMrnmrJkDdGJUZvVptZpEzooYXHjSkmNUQhNixacZM unQwbqoSiCAVRipdKZnfkzQZLWpqAKrOr /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"FOVJMKXROmbmNlYfnlpagDkLPecwkSmmLgVKCxYJynjnt DYnSNRaGAnJhdtkuaII jAhZnRcl /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"ftUJLBZMnkOxGVvuLKaXgY udiqDf ttrchR /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"FUlESOlGcMEJezflNqgmkhayoREHwkq FobMjwLlnsSezbrPAJcGaaMoOYVMYFsnsXb /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"FUQOF /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"FVbScIWoTyrIxzHDWKubNf /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"fVZ CQVtZiOiNUpZoWQZnXADTwlghIWQQzvC WZ BwvinyX PNGZXiGcsxusrrNAxNoTcTv lkFHXpKndwPvFlDhcMMTRF /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"FyFTyjyVmDIVquJUXfedWyXincQCTuBYqrGrxpflqBJ KttyFSRdNedYiFCmNsVc iqCPSaDKeVf /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"gaMvugJqlEQcIyEMmwbqkMSzxoakwCKbwmtkbruga  /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GAWSUyfWfHOsLp x /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"gkUEOcwAVnTTgTPacBqFOMoptARsZpuULVJfQEDPjHPZkD rIcqvXuYHJpI QAknAetqjg /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GKWuhe /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GLkFAAlaVqswEWnaWPxilAahsolNRVFXZptayJeNeLJzZtd /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"Gm dqrbeilXPDWrkMIBSSWZKSfJnoHPnkebBDeltjSKLcgeK /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"gnIpVawKhaGGLWFLlmcpfMuKQaGgJoog /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GpvzkBeqCVgWFuwQdPHUysIjbbxTRbFclTI aYuITLVkjDwfjzXYCHwUCkjTxzggVCiWqGvKfuHPVLXXtSBAXksUBRjTImrHB /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"gpZRDNiByCtEMmkxdcNwoHxVrymsVVVHD bCuFLojhvkgUqTYtAcf /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GQulqLBDRkxXlnsCWdbxRWSJwiHSROZeN RJZHOkRf MlHqCkOZcB IphpYcgqHXtJ t /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GSRwnUXSimyvCuCXyAVQPxqmvbLrfqVtOlCLxsWXfDqXILLhazSeEqaLmveZvjPRZGEsjXqwls /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"gsuhZQJCNqysNQOfxs /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GuhGdtFPersHDiBUvsfAdoqibqQEJqavbLYSyepdavPj KgsKvtiyTiHTGcLXu SmNebMV /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GUmZTWWLFSSVuwGbQZoWBPVJxaPclUVDmzSsTQWUVpYmLOTRYjlFGQM DovaLQhNqXjlg /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"gVDYBLEXJuLyxfKyckxEuzdlLNHKAOfzIRCxWcnwArBkAFuRRvkPutRLvthMYDtrxddIfZgxExUaJAzpPweTMaPfJXSLxryPTIS /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GVsdvTIPGjaBFgAtcNRxenlcjn /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"gWBxZRgnfUrKpzhu kiJAnleEItoGflZTXrkeyKBnNNLdNoaaeZ UcmkiUbEYwU YgPCvNofgnW /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GWQD /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GxbaOzmqcBbqrRCluYEVyKYMawuSzTGOjEahctaMCWgmAIcgIqGhfufe LJaYqkmlSwxbOKEleYk BYu /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GxquEaTzaslqE BsEFAQdKNDlyOUvQlVhYfvq /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"gYKMkWVukSQaCtkoYhNnmbqfkKQgGwO /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"GzjsEI /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"H qKkKgvqhCyxKZBlttjkebjqGEOYfSWrErercjCDdNKQCEnDrcYVLUIrQoteUQrXUjrscdhm Hzxy /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"HCnuzSkTIUl aUUXSIStCOIGQxJfCvLJtaUSYXzijvnKGGyZluUQxhOgPEtUJCQtROemKjMNCHUorFwFg EQxRiRxZQRdxQRE /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"HdBXJNHYuuefZgGaGWLVQrDExgOjAsFZIKb /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hIHhLowCmmFyUoWUAANoWXqWpGwEzzxOBDVWQDUGUKwDCAxGzgFGETAByJvkVcnBzAtlZKlCskeaIGquoOEvBW llmKpFnN /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hIvPxtOQEpoFJFTwjIJNTWNCBgpHhnJqaVlFiMJEmuXbAnWRmi rT /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hJAtBQLJmqODeTcAhyAGJAyBlvIhqNIyfxXOcMhrTpwVfr zpzxsiVwCbXFuHOURpekU /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"HJwkgecCBzLRFPyvCQ /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hLVATYCzZTKlQbyjGfxFrbvFYCAJrOanEnERvGaUGyGLpaYzDIIjtgagZDGDFqXkpVMHPiKdDsbtyFkXmyTwZhQjceVPNvY /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hLYpVsSopVBMOjXM /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hpZLVkVMwwwW mNaJuMqpXXNOuxNP RhjyNGIIzDffXzjpBPxwiXRchVmbUkxNeDDlfe ddSHfKZLxtXvH /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hRSrbxiwiuMndVORiPBJiDxYcxpcuhRJqsMvbaOQwXrgnOswaYWbidqhDMPsLUFihrjumFf lKwuveLmnefRnnoCyYTxxoupeym /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"HruMwPuknbfLg /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hsevNisceKwk /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hssXegTKUcuAtvgpAyTOK /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hTXhM /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hUfUSkQxqc NNbdrlG /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"HwHXilENEEoZyLMLBTuJhzmEZRTTAEhZ  lCUUULMIotBZzEzPbPurDkTkMfrrDdCVcDzK /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"HwJLGSvuWJZUvJDJUJdqEoTOPoWSAUNBr JgMPoZyMqG rPgNEsJiRRviOnlVDSfcFMYKEqsljLHjLCcxMTqCTCNfvCAUWblN /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hysMm /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hYU EIlaQVyvRWnAgyNYnzNEeCdCYZLEyRdbEDmSPeMvcxIKIXiyoP AtH /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"hZlBEXMfhHrJrlUDnbgenikDtxovkxcPeplbwAtHvSnGjNhDLuH /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"i wwlWHqdqNeBXthFl /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"iabiLnjsscsgOkIUztmckXPGaAqFHGzheekdmkphIbKJcmpLdzXENbZigaM  /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"iByhgiVwUxDYpgvnXUmVSihgUDqhEKgnqiKuIVxrcHYFbuVmuQeilyHNkSmigD /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"icrPPNiuAZZKeZTHgDqIIaAF hhXymiPwLeGFEPjJhCjxymhlLO /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"idAAsaEFnvNqTGKGmbcDkeVbXlSpxFkVD StZzSBhpJwujolFegVfAWxtqPeHnlxnqZ cEkSluUouBfxIaXGXzUgmibZwTtV /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"iFbHKaROprPcPRUwpktmqXXft /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"IGzOPB /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"IhLGjNdRCxIarlMpMvBGSbgFNcqwOVjoyzjESCeAuUcEonlGvyhwumKjoAwWTuNGFmaIPsmVvJBCtjKE /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"iINWVRThmmWUiLQbjOCwAcQcNHgy ixazvrEqxznvfbwBiSOgVGgskqvLBsLfqZLGFKpaAdIbvDhMDOYOoi /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"IkqcAeHXCAS /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"ilXqsyxAwWKOAAPALAqRwyWIUYGwOc /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"IouAGGViIxDjTzbpTd fWQtAnURErpF TVfgdHUXOvtRpjgZbrELkgekvyaaIUKhKYbFvmPrOvVGAwZbNpTUiaLYQNiCjE /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"iQxxMiYfHQELARxFRRSklPfgLTuAjm /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"IsDPbsxwrXNdvdIaFFgmmBRtuihRkThyzrgy VfTZLZYsLHgeFXbJDuhYFQxUVvUoHJpyLiIyQdbrKSqOwOjd /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"ISFHHCWeUKITvNjCsbgHeSKMKirZHBEUWyLMw /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"IsIYpSdfBCUHKAFEdazIpDFwEsOrrpRRSpm /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"isRwDOVVHHmICIlidUheiysm zdMoEDtbLqsTMThyv mGaFbwEHYwtuxYjPtAB /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"ItFuNXVsDnuuwJPpIJYsvTKKfkxyQfiRHoqdkzqMrNTMzBrl VDpfOrrEltDgeGiunjEBhCmnwtvhLDuOVXKYOxVTWPnfu /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"IUINMgsbmOyNJsLmkHOcKrWFsFmzpykNXgHNDVwKOkuLZOZSofssrQHZUGYrX /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"iVaZYcvGtlXxyvHLQkZXJuNaLmI ysTIhLbPqbdDmLOFDMRtmBfudLdHJasSypEjldMfothULmHobCQCWpVZzgP /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"IyDsZrbAWNswcFtFxJezAVoYWQcWLIuDZVtfAN bVbYfFouxUUwpxlwcByOzJHzAUPnO /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
NA,"jaoNEEiVNcayyrcxpGQsIMedZuwqIBTNgFmAaSGDlXNUPXZWpwWZhU LtfFPKivVOdliJGkRnrNZKNclRZFobsn /// instances: 1","c3_displacementstatus_other",TRUE,"'other' response. may need recoding."
